Conversacion,Perplexity
"Usuario: Busco algo de animación
Enrique: Otra gran opción sería esta:
""Batman Ninja vs. Yakuza League"" (2025)
Género: Animación, Acción
Sólo un día después de regresar del pasado, Batman y sus aliado...",4.88
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""Cómo entrenar a tu dragón"" (2025)
Género: Acción, Familia, Fantasía
En la escarpada isla de Berk, donde vikingos y dragones...",5.57
"Usuario: ¿Tienes otra de animación?
Enrique: Otra gran opción sería esta:
""Batman Ninja vs. Yakuza League"" (2025)
Género: Animación, Acción
Sólo un día después de regresar del pasado, Batman y sus ali...",4.63
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Aquí tienes una buena para empezar:
""Spider-Man: No Way Home"" (2021)
Género: Acción, Aventura, Ciencia ficción
Peter Parker es desenma...",3.34
"Usuario: ¿Tienes otra de aventura?
Enrique: Otra gran opción sería esta:
""El señor de los anillos: La comunidad del anillo"" (2001)
Género: Aventura, Fantasía, Acción
En la Tierra Media, el Señor Oscur...",4.39
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Spider-Man: No Way Home"" (2021)
Género: Acción, Aventura, Ciencia ficción
Peter Parker es desenmascarado y por tant...",3.62
"Usuario: ¿Tienes otra de aventura?
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""El señor de los anillos: La comunidad del anillo"" (2001)
Género: Aventura, Fantasía, Acción
En la Tier...",4.23
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""Spider-Man: No Way Home"" (2021)
Género: Acción, Aventura, Ciencia ficción
Peter Parker es desenmascarado y por tanto no es ...",3.59
"Usuario: Me gustan las pelis de aventura
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""El señor de los anillos: La comunidad del anillo"" (2001)
Género: Aventura, Fantasía, Acción
En l...",4.28
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""देवा"" (2025)
Género: Acción, Suspense, Misterio, Crimen
nan",3.92
"Usuario: ¿Tienes otra de animación?
Enrique: Esta otra podría interesarte:
""Miraculous World: Las Aventuras de Ladybug en Londres, la carrera contra el tiempo"" (2024)
Género: Animación, Aventura, Acci...",5.36
"Usuario: Recomiéndame una peli
Enrique: Empiezo por una que suele gustar mucho:
""देवा"" (2025)
Género: Acción, Suspense, Misterio, Crimen
nan",3.54
"Usuario: ¿Tienes otra de animación?
Enrique: Esta otra podría interesarte:
""Miraculous World: Las Aventuras de Ladybug en Londres, la carrera contra el tiempo"" (2024)
Género: Animación, Aventura, Acci...",5.36
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Empiezo por una que suele gustar mucho:
""देवा"" (2025)
Género: Acción, Suspense, Misterio, Crimen
nan",3.09
"Usuario: Busco algo de animación
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Miraculous World: Las Aventuras de Ladybug en Londres, la carrera contra el tiempo"" (2024)
Género: Anima...",5.14
"Usuario: ¿Qué película me recomiendas?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""El Club de la Lucha"" (1999)
Género: Drama
Un joven sin ilusiones lucha contra su insomnio, consecuencia ...",6.93
"Usuario: Busco algo de acción
Enrique: Esta otra podría interesarte:
""거룩한 밤: 데몬 헌터스"" (2025)
Género: Acción, Fantasía, Terror
nan",5.41
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""El Club de la Lucha"" (1999)
Género: Drama
Un joven sin ilusiones lucha contra su insomnio, consecuencia quizás ...",7.16
"Usuario: Busco algo de acción
Enrique: Esta otra podría interesarte:
""거룩한 밤: 데몬 헌터스"" (2025)
Género: Acción, Fantasía, Terror
nan",5.41
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""El Club de la Lucha"" (1999)
Género: Drama
Un joven sin ilusiones lucha contra su insomnio, consecuencia quizás ...",7.16
"Usuario: Me gustan las pelis de acción
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""거룩한 밤: 데몬 헌터스"" (2025)
Género: Acción, Fantasía, Terror
nan",4.58
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Amateur"" (2025)
Género: Suspense, Acción
Charlie Heller es un brillante pero introvertido decodificador de la CIA q...",4.89
"Usuario: ¿Tienes otra de fantasía?
Enrique: Esta otra podría interesarte:
""Cómo entrenar a tu dragón"" (2010)
Género: Fantasía, Aventura, Animación, Familia
Ambientada en el mítico mundo de los rudos v...",4.83
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""Amateur"" (2025)
Género: Suspense, Acción
Charlie Heller es un brillante pero introvertido decodificador de la CIA que traba...",4.94
"Usuario: ¿Tienes otra de fantasía?
Enrique: Otra gran opción sería esta:
""Cómo entrenar a tu dragón"" (2010)
Género: Fantasía, Aventura, Animación, Familia
Ambientada en el mítico mundo de los rudos vi...",4.82
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Amateur"" (2025)
Género: Suspense, Acción
Charlie Heller es un brillante pero introvertido decodificador de la CIA q...",4.89
"Usuario: Busco algo de fantasía
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Cómo entrenar a tu dragón"" (2010)
Género: Fantasía, Aventura, Animación, Familia
Ambientada en el mítico ...",4.65
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""Origen"" (2010)
Género: Acción, Ciencia ficción, Aventura
Dom Cobb es un ladrón hábil, el mejor de todos, especi...",7.37
"Usuario: ¿Tienes otra de animación?
Enrique: Otra gran opción sería esta:
""Los mundos de Coraline"" (2009)
Género: Animación, Familia, Fantasía
Película de animación en la que se nos cuenta la historia...",5.26
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Origen"" (2010)
Género: Acción, Ciencia ficción, Aventura
Dom Cobb es un ladrón hábil, ...",6.58
"Usuario: ¿Tienes otra de animación?
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Los mundos de Coraline"" (2009)
Género: Animación, Familia, Fantasía
Película de animación en la que s...",5.04
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Empiezo por una que suele gustar mucho:
""Origen"" (2010)
Género: Acción, Ciencia ficción, Aventura
Dom Cobb es un ladrón hábil, el mejo...",6.79
"Usuario: ¿Tienes otra de animación?
Enrique: Esta otra podría interesarte:
""Los mundos de Coraline"" (2009)
Género: Animación, Familia, Fantasía
Película de animación en la que se nos cuenta la histori...",5.26
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Aquí tienes una buena para empezar:
""El Gato con Botas: El último deseo"" (2022)
Género: Animación, Aventura, Fantasía, Comedia, Famili...",3.54
"Usuario: Busco algo de drama
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Pleasure"" (2021)
Género: Drama
La joven Linnéa deja atrás su vida en un pueblo sueco para ir a Los Angeles y...",4.66
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""El Gato con Botas: El último deseo"" (2022)
Género: Animación, Aventura, Fantasía, Comedia, Familia
El Gato con Botas se emb...",3.96
"Usuario: Me gustan las pelis de drama
Enrique: Esta otra podría interesarte:
""Pleasure"" (2021)
Género: Drama
La joven Linnéa deja atrás su vida en un pueblo sueco para ir a Los Angeles y convertirse e...",5.07
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""El Gato con Botas: El último deseo"" (2022)
Género: Animación, Aventura, Fantasía, Comedia, Familia
El Gato con ...",3.69
"Usuario: Me gustan las pelis de drama
Enrique: Esta otra podría interesarte:
""Pleasure"" (2021)
Género: Drama
La joven Linnéa deja atrás su vida en un pueblo sueco para ir a Los Angeles y convertirse e...",5.07
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""La guerra de las galaxias"" (1977)
Género: Aventura, Acción, Ciencia ficción
La princesa Leia, líder del movimiento rebelde ...",3.68
"Usuario: ¿Tienes otra de aventura?
Enrique: Esta otra podría interesarte:
""Misión imposible 3"" (2006)
Género: Aventura, Acción, Suspense
Tras haber llevado a cabo diversas misiones, el agente especial...",5.09
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""La guerra de las galaxias"" (1977)
Género: Aventura, Acción, Ciencia ficción
La princesa Leia, líder del movimiento ...",3.69
"Usuario: Busco algo de aventura
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Misión imposible 3"" (2006)
Género: Aventura, Acción, Suspense
Tras haber llevado a cabo diversas misiones...",4.91
"Usuario: Recomiéndame una peli
Enrique: Empiezo por una que suele gustar mucho:
""La guerra de las galaxias"" (1977)
Género: Aventura, Acción, Ciencia ficción
La princesa Leia, líder del movimiento rebe...",3.6
"Usuario: ¿Tienes otra de aventura?
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Misión imposible 3"" (2006)
Género: Aventura, Acción, Suspense
Tras haber llevado a cabo diversas misio...",4.7
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Habitación en Roma"" (2010)
Género: Drama, Romance
Verano de 2008. Se inspira en el film 'En la cama', del chileno M...",6.08
"Usuario: ¿Tienes otra de drama?
Enrique: Otra gran opción sería esta:
""Apocalipsis Z: el principio del fin"" (2024)
Género: Drama, Acción, Terror
Cuando una especie de rabia que transforma a la gente e...",7.82
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Habitación en Roma"" (2010)
Género: Drama, Romance
Verano de 2008. Se inspira en el film 'En la cama', del chileno M...",6.08
"Usuario: ¿Tienes otra de drama?
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Apocalipsis Z: el principio del fin"" (2024)
Género: Drama, Acción, Terror
Cuando una especie de rabia que...",6.99
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Empiezo por una que suele gustar mucho:
""Habitación en Roma"" (2010)
Género: Drama, Romance
Verano de 2008. Se inspira en el film 'En l...",5.4
"Usuario: Me gustan las pelis de drama
Enrique: Esta otra podría interesarte:
""Apocalipsis Z: el principio del fin"" (2024)
Género: Drama, Acción, Terror
Cuando una especie de rabia que transforma a la ...",7.79
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Leroy y Stitch"" (2006)
Género: Animación, Comedia, Familia, Película de TV
Como recomp...",6.19
"Usuario: Busco algo de acción
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""El corredor del laberinto"" (2014)
Género: Acción, Misterio, Ciencia ficción, Suspense
Thomas abre los ojos ...",6.89
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Leroy y Stitch"" (2006)
Género: Animación, Comedia, Familia, Película de TV
Como recompensa por recuperar los 625 ex...",7.01
"Usuario: Busco algo de acción
Enrique: Esta otra podría interesarte:
""El corredor del laberinto"" (2014)
Género: Acción, Misterio, Ciencia ficción, Suspense
Thomas abre los ojos y se da cuenta que está...",7.22
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Leroy y Stitch"" (2006)
Género: Animación, Comedia, Familia, Película de TV
Como recomp...",6.19
"Usuario: Me gustan las pelis de acción
Enrique: Esta otra podría interesarte:
""El corredor del laberinto"" (2014)
Género: Acción, Misterio, Ciencia ficción, Suspense
Thomas abre los ojos y se da cuenta...",7.01
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""Cincuenta sombras de Grey"" (2015)
Género: Drama, Romance, Suspense
Cuando la estudiante de Literatura Anastasia...",6.3
"Usuario: ¿Tienes otra de ciencia ficción?
Enrique: Esta otra podría interesarte:
""Dune"" (2021)
Género: Ciencia ficción, Aventura
En un lejano futuro, la galaxia conocida es gobernada mediante un siste...",6.18
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Cincuenta sombras de Grey"" (2015)
Género: Drama, Romance, Suspense
Cuando la estudiant...",5.61
"Usuario: ¿Tienes otra de ciencia ficción?
Enrique: Otra gran opción sería esta:
""Dune"" (2021)
Género: Ciencia ficción, Aventura
En un lejano futuro, la galaxia conocida es gobernada mediante un sistem...",6.19
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""Cincuenta sombras de Grey"" (2015)
Género: Drama, Romance, Suspense
Cuando la estudiante de Literatura Anastasia Steele reci...",6.63
"Usuario: ¿Tienes otra de ciencia ficción?
Enrique: Esta otra podría interesarte:
""Dune"" (2021)
Género: Ciencia ficción, Aventura
En un lejano futuro, la galaxia conocida es gobernada mediante un siste...",6.18
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Aquí tienes una buena para empezar:
""John Wick 4"" (2023)
Género: Acción, Suspense, Crimen
John Wick descubre un camino para derrotar a...",4.34
"Usuario: ¿Tienes otra de comedia?
Enrique: Otra gran opción sería esta:
""Forrest Gump"" (1994)
Género: Comedia, Drama, Romance
Forrest Gump es un chico con deficiencias mentales no muy profundas y con ...",5.31
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Aquí tienes una buena para empezar:
""John Wick 4"" (2023)
Género: Acción, Suspense, Crimen
John Wick descubre un camino para derrotar a...",4.34
"Usuario: Me gustan las pelis de comedia
Enrique: Otra gran opción sería esta:
""Forrest Gump"" (1994)
Género: Comedia, Drama, Romance
Forrest Gump es un chico con deficiencias mentales no muy profundas ...",5.43
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Empiezo por una que suele gustar mucho:
""John Wick 4"" (2023)
Género: Acción, Suspense, Crimen
John Wick descubre un camino para derrot...",4.07
"Usuario: Busco algo de comedia
Enrique: Otra gran opción sería esta:
""Forrest Gump"" (1994)
Género: Comedia, Drama, Romance
Forrest Gump es un chico con deficiencias mentales no muy profundas y con alg...",5.54
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""La chica en el sótano"" (2021)
Género: Suspense, Crimen, Película de TV
Sara es una adolescente que está deseando cumplir 18...",5.01
"Usuario: Me gustan las pelis de drama
Enrique: Esta otra podría interesarte:
""Prisioneros"" (2013)
Género: Drama, Suspense, Crimen
Keller Dover se enfrenta a la peor de las pesadillas: Anna, su hija de...",4.58
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""La chica en el sótano"" (2021)
Género: Suspense, Crimen, Película de TV
Sara es una ado...",3.97
"Usuario: Busco algo de drama
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Prisioneros"" (2013)
Género: Drama, Suspense, Crimen
Keller Dover se enfrenta a la peor de las pesadillas: An...",4.34
"Usuario: ¿Qué película me recomiendas?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""La chica en el sótano"" (2021)
Género: Suspense, Crimen, Película de TV
Sara es una adolescente que está ...",4.37
"Usuario: Me gustan las pelis de drama
Enrique: Otra gran opción sería esta:
""Prisioneros"" (2013)
Género: Drama, Suspense, Crimen
Keller Dover se enfrenta a la peor de las pesadillas: Anna, su hija de ...",4.55
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Super Mario Bros: La película"" (2023)
Género: Familia, Comedia, Aventura, Animación
Mientras trabajan en una avería...",4.68
"Usuario: Busco algo de terror
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Expediente Warren: Obligado por el demonio"" (2021)
Género: Terror, Misterio, Suspense
Los investigadores pa...",3.91
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Super Mario Bros: La película"" (2023)
Género: Familia, Comedia, Aventura, Animación
Mi...",3.78
"Usuario: Me gustan las pelis de terror
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Expediente Warren: Obligado por el demonio"" (2021)
Género: Terror, Misterio, Suspense
Los investig...",3.84
"Usuario: Recomiéndame una peli
Enrique: Empiezo por una que suele gustar mucho:
""Super Mario Bros: La película"" (2023)
Género: Familia, Comedia, Aventura, Animación
Mientras trabajan en una avería sub...",4.39
"Usuario: Busco algo de terror
Enrique: Esta otra podría interesarte:
""Expediente Warren: Obligado por el demonio"" (2021)
Género: Terror, Misterio, Suspense
Los investigadores paranormales Ed y Lorrain...",4.21
"Usuario: ¿Qué película me recomiendas?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Babygirl"" (2024)
Género: Drama
Una alta ejecutiva pone en peligro su carrera y su familia cuando inicia ...",4.88
"Usuario: Busco algo de acción
Enrique: Otra gran opción sería esta:
""Avatar"" (2009)
Género: Acción, Aventura, Fantasía, Ciencia ficción
Año 2154. Jake Sully, un exmarine en silla de ruedas, es enviado...",5.97
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""Babygirl"" (2024)
Género: Drama
Una alta ejecutiva pone en peligro su carrera y su familia cuando inicia un tórrido romance ...",5.74
"Usuario: ¿Tienes otra de acción?
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Avatar"" (2009)
Género: Acción, Aventura, Fantasía, Ciencia ficción
Año 2154. Jake Sully, un exmarine en ...",5.35
"Usuario: ¿Qué película me recomiendas?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Babygirl"" (2024)
Género: Drama
Una alta ejecutiva pone en peligro su carrera y su familia cuando inicia ...",4.88
"Usuario: Me gustan las pelis de acción
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Avatar"" (2009)
Género: Acción, Aventura, Fantasía, Ciencia ficción
Año 2154. Jake Sully, un exmari...",5.41
"Usuario: Recomiéndame una peli
Enrique: Empiezo por una que suele gustar mucho:
""Misión imposible 2"" (2000)
Género: Aventura, Acción, Suspense
El agente especial Ethan Hunt tiene una nueva misión: evi...",5.46
"Usuario: Busco algo de drama
Enrique: Esta otra podría interesarte:
""El profesor de esgrima"" (2023)
Género: Drama, Historia
París, 1887. En una sociedad en rápida evolución, el duelo es el último luga...",5.39
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""Misión imposible 2"" (2000)
Género: Aventura, Acción, Suspense
El agente especial Ethan Hunt tiene una nueva mis...",5.46
"Usuario: ¿Tienes otra de drama?
Enrique: Esta otra podría interesarte:
""El profesor de esgrima"" (2023)
Género: Drama, Historia
París, 1887. En una sociedad en rápida evolución, el duelo es el último l...",5.25
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""Misión imposible 2"" (2000)
Género: Aventura, Acción, Suspense
El agente especial Ethan Hunt tiene una nueva mis...",5.46
"Usuario: Busco algo de drama
Enrique: Otra gran opción sería esta:
""El profesor de esgrima"" (2023)
Género: Drama, Historia
París, 1887. En una sociedad en rápida evolución, el duelo es el último lugar...",5.38
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Parásitos"" (2019)
Género: Comedia, Suspense, Drama
Tanto Gi Taek (Song Kang-ho) como su familia están sin trabajo. ...",5.11
"Usuario: Busco algo de acción
Enrique: Esta otra podría interesarte:
""Nadie"" (2021)
Género: Acción, Suspense
Hutch Mansell, un padre de familia que aguanta con resignación y sin defenderse los golpes ...",7.34
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Empiezo por una que suele gustar mucho:
""Parásitos"" (2019)
Género: Comedia, Suspense, Drama
Tanto Gi Taek (Song Kang-ho) como su famil...",4.49
"Usuario: Busco algo de acción
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Nadie"" (2021)
Género: Acción, Suspense
Hutch Mansell, un padre de familia que aguanta con resignación y sin...",6.73
"Usuario: Recomiéndame una peli
Enrique: Empiezo por una que suele gustar mucho:
""Parásitos"" (2019)
Género: Comedia, Suspense, Drama
Tanto Gi Taek (Song Kang-ho) como su familia están sin trabajo. Cuan...",4.93
"Usuario: ¿Tienes otra de acción?
Enrique: Otra gran opción sería esta:
""Nadie"" (2021)
Género: Acción, Suspense
Hutch Mansell, un padre de familia que aguanta con resignación y sin defenderse los golpe...",7.09
"Usuario: ¿Qué película me recomiendas?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Policán"" (2025)
Género: Animación, Familia, Comedia, Aventura
Un perro y un agente de policía resultan h...",5.75
"Usuario: Me gustan las pelis de ciencia ficción
Enrique: Esta otra podría interesarte:
""Avatar: El sentido del agua"" (2022)
Género: Ciencia ficción, Aventura, Acción
Más de una década después de los a...",5.45
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Aquí tienes una buena para empezar:
""Policán"" (2025)
Género: Animación, Familia, Comedia, Aventura
Un perro y un agente de policía res...",5.79
"Usuario: ¿Tienes otra de ciencia ficción?
Enrique: Otra gran opción sería esta:
""Avatar: El sentido del agua"" (2022)
Género: Ciencia ficción, Aventura, Acción
Más de una década después de los aconteci...",5.32
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Policán"" (2025)
Género: Animación, Familia, Comedia, Aventura
Un perro y un agente de ...",5.42
"Usuario: ¿Tienes otra de ciencia ficción?
Enrique: Esta otra podría interesarte:
""Avatar: El sentido del agua"" (2022)
Género: Ciencia ficción, Aventura, Acción
Más de una década después de los acontec...",5.38
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Aquí tienes una buena para empezar:
""Crepúsculo"" (2008)
Género: Fantasía, Drama, Romance
La joven Bella Swan siempre fue una chica muy...",5.92
"Usuario: Busco algo de acción
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Elevation"" (2024)
Género: Acción, Ciencia ficción, Suspense
Un padre soltero y dos mujeres se aventuran des...",4.1
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Crepúsculo"" (2008)
Género: Fantasía, Drama, Romance
La joven Bella Swan siempre fue una chica muy diferente ya en s...",6.64
"Usuario: Busco algo de acción
Enrique: Esta otra podría interesarte:
""Elevation"" (2024)
Género: Acción, Ciencia ficción, Suspense
Un padre soltero y dos mujeres se aventuran desde la seguridad de sus ...",4.61
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Crepúsculo"" (2008)
Género: Fantasía, Drama, Romance
La joven Bella Swan siempre fue una chica muy diferente ya en s...",6.64
"Usuario: ¿Tienes otra de acción?
Enrique: Esta otra podría interesarte:
""Elevation"" (2024)
Género: Acción, Ciencia ficción, Suspense
Un padre soltero y dos mujeres se aventuran desde la seguridad de s...",4.4
"Usuario: Recomiéndame una peli
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Vértigo"" (2022)
Género: Suspense
Para las mejores amigas Becky y Hunter, la vida trata de superar tus miedos y e...",4.77
"Usuario: Me gustan las pelis de terror
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Popeye the Slayer Man"" (2025)
Género: Terror
nan",5.2
"Usuario: Recomiéndame una peli
Enrique: Empiezo por una que suele gustar mucho:
""Vértigo"" (2022)
Género: Suspense
Para las mejores amigas Becky y Hunter, la vida trata de superar tus miedos y empujar ...",4.84
"Usuario: ¿Tienes otra de terror?
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Popeye the Slayer Man"" (2025)
Género: Terror
nan",4.95
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""Vértigo"" (2022)
Género: Suspense
Para las mejores amigas Becky y Hunter, la vida trata de superar tus miedos y ...",4.85
"Usuario: Me gustan las pelis de terror
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Popeye the Slayer Man"" (2025)
Género: Terror
nan",5.2
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""Spider-Man: Cruzando el Multiverso"" (2023)
Género: Animación, Acción, Aventura, Ciencia ficción
Tras reencontra...",4.83
"Usuario: Me gustan las pelis de drama
Enrique: Otra gran opción sería esta:
""사방지"" (1988)
Género: Drama, Romance, Historia
nan",5.02
"Usuario: Recomiéndame una peli
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Spider-Man: Cruzando el Multiverso"" (2023)
Género: Animación, Acción, Aventura, Ciencia ficción
Tras reencontrar...",4.63
"Usuario: ¿Tienes otra de drama?
Enrique: Otra gran opción sería esta:
""사방지"" (1988)
Género: Drama, Romance, Historia
nan",4.94
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Aquí tienes una buena para empezar:
""Spider-Man: Cruzando el Multiverso"" (2023)
Género: Animación, Acción, Aventura, Ciencia ficción
T...",4.69
"Usuario: Busco algo de drama
Enrique: Otra gran opción sería esta:
""사방지"" (1988)
Género: Drama, Romance, Historia
nan",5.46
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Empiezo por una que suele gustar mucho:
""El ejecutor"" (2024)
Género: Acción, Crimen
El detective Seo Do-cheol y su División de Investi...",5.41
"Usuario: Me gustan las pelis de terror
Enrique: Esta otra podría interesarte:
""Smile 2"" (2024)
Género: Terror, Misterio
La estrella del pop mundial Skye Riley está a punto de embarcarse en una nueva g...",4.61
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""El ejecutor"" (2024)
Género: Acción, Crimen
El detective Seo Do-cheol y su División de Investigación de Delitos Grav...",5.96
"Usuario: ¿Tienes otra de terror?
Enrique: Otra gran opción sería esta:
""Smile 2"" (2024)
Género: Terror, Misterio
La estrella del pop mundial Skye Riley está a punto de embarcarse en una nueva gira mun...",4.56
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Empiezo por una que suele gustar mucho:
""El ejecutor"" (2024)
Género: Acción, Crimen
El detective Seo Do-cheol y su División de Investi...",5.41
"Usuario: Busco algo de terror
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Smile 2"" (2024)
Género: Terror, Misterio
La estrella del pop mundial Skye Riley está a punto de embarcarse ...",4.42
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Empiezo por una que suele gustar mucho:
""Home Sweet Home: Rebirth"" (2025)
Género: Terror, Fantasía, Suspense, Misterio, Acción
Cuando ...",3.7
"Usuario: Me gustan las pelis de suspense
Enrique: Esta otra podría interesarte:
""Voces de libertad"" (2024)
Género: Suspense, Drama, Historia
Ambientada en los tumultuosos años 60 en la radio checoslov...",4.32
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Empiezo por una que suele gustar mucho:
""Home Sweet Home: Rebirth"" (2025)
Género: Terror, Fantasía, Suspense, Misterio, Acción
Cuando ...",3.7
"Usuario: Busco algo de suspense
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Voces de libertad"" (2024)
Género: Suspense, Drama, Historia
Ambientada en los tumultuosos años 60 en la r...",3.98
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""Home Sweet Home: Rebirth"" (2025)
Género: Terror, Fantasía, Suspense, Misterio, Acción
Cuando una ciudad es inva...",4.18
"Usuario: ¿Tienes otra de suspense?
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Voces de libertad"" (2024)
Género: Suspense, Drama, Historia
Ambientada en los tumultuosos años 60 en l...",3.8
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""El lobo de Wall Street"" (2013)
Género: Crimen, Drama, Comedia
Película basada en hechos reales del corredor de ...",5.85
